Name,Filename,Lat_1,Lon_1,Lat_2,Lon_2
Hallett Motor Racing Circuit,hallett_motor_circuit.png,36.224478,-96.60012,36.21717,-96.58613
Rice University Campus,rice_campus.png,29.72358167,-95.41445833,29.7107133,-95.391505
MSR Houston,msr_houston.png,29.281513,-95.427755,29.27494667,-95.41615833
